,Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,pH,%OM,ARCA_ID,OBJECTID,bh,shape_star,shape_stle,hydoconnec,rainfall_2,slope_2,landclass2,host_2,soilp_2,q10_2,riverbuff2,rwb_stat_2,erosion,riskscore2,ruleid,override,SHAPE__Length,SHAPE__Area,GlobalID,SHAPE_Length,SHAPE_Area,geometry
0,554401,723,2.0,50.3,4.66,229.0,0.91,0.31,57,0.73,0.03,23.3,0.48,46.3,56.4,50.0,5.79,22.41,{A90DBEB1-C806-4217-AD3A-7F8E2E9F8C1B},119285,Improved grassland,13942.9696739,690.91624163,Yes,0.1,0.05,0.3,0.0,0.2,0.3,0.3,0.1,0.0,1.35,2,,690.91624163,13942.96964548,{A90DBEB1-C806-4217-AD3A-7F8E2E9F8C1B},0.008578923474583987,1.9319876164638076e-06,POINT (-7.720373794084306 54.47358743951373)
1,554403,293,0.5,12.8,0.17,126.0,0.19,0.17,34,0.56,0.04,11.7,0.1,2.1,20.9,31.0,5.35,20.95,{0D34CC82-A3F3-4D46-B20B-5D2F87450C2C},46018,Improved grassland,22645.6823813,602.46061219,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,602.46061219,22645.68246106,{0D34CC82-A3F3-4D46-B20B-5D2F87450C2C},0.007513770744778713,3.1277393866347822e-06,POINT (-7.549276298012581 54.34089603528862)
2,554420,258,2.0,13.8,0.52,637.0,0.1,0.31,119,0.45,0.03,66.8,0.24,14.1,22.2,28.0,4.49,33.14,{FEF281F4-DB8C-4EB7-8F60-33C09EC80B27},53865,Improved grassland,8194.6618003,426.20591548,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.9,2,,426.20591548,8194.66182663,{FEF281F4-DB8C-4EB7-8F60-33C09EC80B27},0.004932640400225921,1.1327347392596271e-06,POINT (-7.455703692359239 54.37461173952328)
3,554445,493,1.0,6.7,0.28,57.0,0.44,0.06,37,0.2,0.02,50.7,0.14,2.0,7.8,7.0,4.61,35.78,{A34B257E-6A6A-4FF1-BF61-C32CA12B1B7C},53459,Improved grassland,4149.16250281,266.26459601,Yes,0.1,0.05,0.3,0.0,0.3,0.0,0.0,0.2,0.0,0.95,2,,266.26459601,4149.16247155,{A34B257E-6A6A-4FF1-BF61-C32CA12B1B7C},0.0031138580769623477,5.738748578396244e-07,POINT (-7.527364532823108 54.398666190739206)
4,554457,327,0.5,19.1,0.34,544.0,0.19,0.25,46,0.73,0.03,26.1,0.09,3.6,36.4,41.0,5.28,12.09,{90472EC6-9CA4-45C4-90C6-47015CF40AAC},126822,Improved grassland,616.13610886,124.46322029,Yes,0.1,0.05,0.3,0.0,0.3,0.0,0.0,0.2,0.0,0.95,2,,124.46322029,616.13611538,{90472EC6-9CA4-45C4-90C6-47015CF40AAC},0.0016361577080088396,8.518144185797715e-08,POINT (-7.587620670576821 54.38088423765243)
5,554464,258,0.5,17.1,0.33,655.0,0.13,0.44,53,1.14,0.03,14.6,0.01,7.5,57.7,50.0,5.39,8.72,{08ECBDFF-E768-4A0B-B9D5-7ABD45D49436},119892,Improved grassland,1442.44708082,272.65958297,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,272.65958297,1442.44709444,{08ECBDFF-E768-4A0B-B9D5-7ABD45D49436},0.002707017650051436,1.9983470204160813e-07,POINT (-7.639205037783009 54.467047888541366)
6,554466,569,1.0,9.7,0.25,293.0,0.08,0.16,38,0.43,0.03,13.5,0.12,3.5,12.6,27.0,4.27,11.98,{24FC457C-0030-4473-9D35-7D3078271498},53340,Improved grassland,9929.61458048,392.25823361,Yes,0.1,0.15,0.3,0.0,0.3,0.0,0.3,0.1,0.0,1.25,2,,392.25823361,9929.6146458,{24FC457C-0030-4473-9D35-7D3078271498},0.005126667370287198,1.3720223311479156e-06,POINT (-7.515570620362339 54.358184510356935)
7,554468,479,2.0,38.8,1.64,213.0,1.7,0.09,35,0.44,0.01,13.6,0.21,16.1,29.1,20.0,4.98,35.67,{C54662E1-7452-4717-B2BC-993137B84EDF},53569,Improved grassland,4382.8720712,271.76835809,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.3,0.2,0.0,1.3,2,,271.76835809,4382.87208667,{C54662E1-7452-4717-B2BC-993137B84EDF},0.0036094952255332916,6.072155235765036e-07,POINT (-7.673713841375685 54.467819828664645)
8,554469,521,0.5,11.4,0.47,212.0,1.64,0.04,17,0.12,0.005,13.5,0.24,1.9,9.0,5.0,4.84,26.41,{5B4C0EE0-503F-4584-B2BD-60C62F6EE051},118986,Improved grassland,2698.2587113,398.39754493,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.9,2,,398.39754493,2698.25876807,{5B4C0EE0-503F-4584-B2BD-60C62F6EE051},0.004879253873859398,3.7265799202198514e-07,POINT (-7.393971814611833 54.338850089577626)
9,554470,594,1.0,17.1,0.55,619.0,0.23,0.29,72,0.95,0.02,18.8,0.14,5.5,49.6,49.0,5.15,15.5,{57210C09-357C-4E1A-B4A6-1A8485C2DB45},46226,Improved grassland,4323.09045902,435.46113536,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.1,0.4,1.2,2,,435.46113536,4323.09033154,{57210C09-357C-4E1A-B4A6-1A8485C2DB45},0.005419047086790369,5.986028448838473e-07,POINT (-7.694343783619524 54.443735527906824)
