Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
554401,723,2.0,50.3,4.66,229,0.91,0.31,57,0.73,0.03,23.3,0.48,46.3,56.4,50.0,0.21,POINT (-7.720373794084306 54.47358743951373),5.79,22.41,Loam
554402,152,0.5,9.1,0.33,462,0.19,0.24,39,0.37,0.03,16.7,0.17,6.6,28.4,30.0,0.04,POINT (-7.392706526140044 54.37147228025122),4.95,7.23,Silt
554403,293,0.5,12.8,0.17,126,0.19,0.17,34,0.56,0.04,11.7,0.1,2.1,20.9,31.0,0.05,POINT (-7.549276298012581 54.34089603528862),5.35,20.95,Silt
554404,428,0.5,19.4,0.29,567,0.2,0.4,56,0.87,0.03,17.8,0.06,8.7,55.7,46.0,0.06,POINT (-7.647346479582778 54.39911244841368),5.34,8.33,Silt
554405,455,1.0,17.7,0.48,2520,0.16,0.21,62,0.66,0.04,13.7,0.12,8.7,33.9,38.0,0.04,POINT (-7.6210954625958385 54.41742199303636),4.57,7.52,Clay
554406,442,0.5,17.9,0.48,321,0.5,0.3,70,0.6,0.02,19.8,0.3,4.5,39.4,44.0,0.1,POINT (-7.637001781530234 54.358817748503505),5.72,13.74,Loam
554407,149,0.5,7.3,0.26,78,0.08,0.17,38,0.28,0.03,17.7,0.11,24.9,16.2,20.0,1.54,POINT (-7.470872117092618 54.367734916887464),4.56,11.45,Clay
554408,169,0.5,10.9,0.16,188,0.11,0.28,40,0.82,0.04,15.1,0.04,5.1,39.4,39.0,0.05,POINT (-7.6031887311669895 54.37837615356785),5.28,11.68,Silt
554409,162,0.5,6.7,0.26,125,0.06,0.22,33,0.74,0.04,12.4,0.05,5.8,22.8,30.0,0.05,POINT (-7.502173860154802 54.40389212271214),4.43,16.68,Clay
554410,384,0.5,13.6,0.33,530,0.16,0.29,49,0.74,0.04,16.7,0.07,4.2,32.6,43.0,0.04,POINT (-7.560561532644996 54.399932552015656),4.58,11.71,Clay
554411,103,0.5,13.0,0.3,393,0.19,0.36,47,0.8,0.02,21.6,0.02,6.8,44.6,42.0,0.02,POINT (-7.69809073889827 54.46446059558872),5.19,9.3,Silt
554412,257,0.5,7.3,0.38,182,0.13,0.14,26,0.22,0.03,11.1,0.13,4.1,17.2,20.0,0.04,POINT (-7.424153399612738 54.34092945515658),5.5,7.59,Silt
554413,435,0.5,10.6,0.31,120,0.3,0.07,23,0.3,0.02,19.5,0.2,3.2,12.8,20.0,0.1,POINT (-7.502949442583164 54.38688053291479),4.87,23.79,Clay
554414,566,2.0,11.9,0.3,463,0.1,0.32,71,0.83,0.03,15.4,0.07,5.1,41.0,43.0,0.04,POINT (-7.607765442607233 54.448659681821354),4.55,8.82,Clay
554415,415,0.5,14.6,0.38,386,0.32,0.3,65,0.38,0.02,18.0,0.1,5.1,21.6,34.0,0.05,POINT (-7.607545436908748 54.408826441990655),4.74,9.63,Clay
554416,226,0.5,7.3,0.24,226,0.14,0.2,27,0.28,0.04,12.4,0.07,4.5,19.1,22.0,0.04,POINT (-7.424802883429068 54.353868978601696),5.49,9.78,Silt
554417,528,2.0,18.1,0.61,658,0.15,0.28,64,0.4,0.03,14.6,0.13,6.3,27.9,34.0,0.04,POINT (-7.622010478510867 54.38328768974981),4.37,8.68,Clay
554418,327,2.0,12.7,1.15,493,0.48,0.13,41,0.17,0.02,12.2,0.52,5.6,27.2,21.0,0.06,POINT (-7.405172429456735 54.34574240526022),4.82,9.44,Clay
554419,495,2.0,13.5,0.21,168,0.34,0.17,27,0.2,0.01,27.5,0.51,3.4,25.3,38.0,0.12,POINT (-7.659771969696219 54.36375320829321),4.06,24.45,Clay
554420,258,2.0,13.8,0.52,637,0.1,0.31,119,0.45,0.03,66.8,0.24,14.1,22.2,28.0,0.15,POINT (-7.455703692359239 54.37461173952328),4.49,33.14,Clay
554421,305,0.5,18.1,0.31,861,0.31,0.48,70,1.37,0.03,16.8,0.06,8.9,65.9,51.0,0.03,POINT (-7.6242891725114985 54.45891736305685),4.88,10.82,Clay
554422,323,0.5,22.4,0.51,724,0.1,0.49,88,1.55,0.02,30.7,0.07,7.0,81.7,64.0,0.05,POINT (-7.664713907446349 54.42929239892769),4.55,13.49,Clay
554423,631,2.0,19.2,0.67,432,0.34,0.31,63,0.64,0.02,40.0,0.41,6.8,41.6,37.0,0.07,POINT (-7.641275152039071 54.34149231388518),7.23,1.28,Sand
554424,513,0.5,12.8,0.25,387,0.12,0.21,52,0.72,0.04,11.0,0.07,3.7,30.8,42.0,0.06,POINT (-7.498620316974831 54.364484596272135),4.79,15.79,Clay
554425,243,0.5,24.1,0.25,462,0.13,0.45,65,1.26,0.03,16.9,0.02,8.6,62.7,56.0,0.04,POINT (-7.594528335944319 54.47623985496465),4.51,9.89,Clay
554426,544,0.5,21.8,0.36,626,0.11,0.21,44,0.34,0.04,14.3,0.09,5.2,19.2,34.0,0.05,POINT (-7.500084453578487 54.345274792505954),4.48,9.38,Clay
554427,559,0.5,14.8,0.28,453,0.1,0.29,58,0.73,0.03,12.7,0.06,6.5,38.5,39.0,0.03,POINT (-7.632749971900345 54.3922684121946),4.43,11.57,Clay
554429,401,2.0,26.1,0.44,447,0.82,0.25,48,0.49,0.02,21.4,0.33,6.2,40.7,42.0,0.14,POINT (-7.648036916433908 54.38142600596858),5.45,21.04,Silt
