Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
554401,1330,2,26.6,2.53,653,1.02,0.15,82,0.44,0.03,41.7,0.63,34.9,34,36,0.18,POINT (-7.720373794084306 54.47358743951373),5.79,22.41,Loam
554402,579,1,8.2,0.29,167,0.21,0.07,31,0.21,0.005,13.4,0.23,4.7,14.3,17,0.06,POINT (-7.392706526140044 54.37147228025122),4.95,7.23,Silt
554403,808,1,40.9,0.27,116,0.51,0.07,31,0.36,0.005,13.7,0.27,3.4,14.6,22,0.08,POINT (-7.549276298012581 54.34089603528862),5.35,20.95,Silt
554404,769,1,11.1,0.45,414,0.22,0.14,49,0.49,0.01,16.5,0.11,6.1,28,28,0.05,POINT (-7.647346479582778 54.39911244841368),5.34,8.33,Silt
554405,970,1,41.1,0.64,1960,0.16,0.1,74,0.58,0.02,22.1,0.22,7.4,32.9,31,0.06,POINT (-7.6210954625958385 54.41742199303636),4.57,7.52,Clay
554406,894,2,22.8,1.04,504,0.67,0.2,80,0.46,0.01,29.7,0.48,5.7,31.6,30,0.08,POINT (-7.637001781530234 54.358817748503505),5.72,13.74,Loam
554407,592,1,24.6,0.28,127,0.16,0.06,27,0.17,0.005,18.3,0.16,3.2,8.2,14,0.06,POINT (-7.470872117092618 54.367734916887464),4.56,11.45,Clay
554408,677,1,18.2,0.3,147,0.29,0.09,37,0.39,0.01,20.3,0.2,3.9,20,25,0.06,POINT (-7.6031887311669895 54.37837615356785),5.28,11.68,Silt
554409,576,1,13.3,0.36,121,0.14,0.07,20,0.26,0.01,15.1,0.16,4.5,8.7,16,0.06,POINT (-7.502173860154802 54.40389212271214),4.43,16.68,Clay
554410,1120,1,47.3,0.55,607,0.2,0.11,57,0.44,0.005,22.8,0.23,4.8,20.4,30,0.06,POINT (-7.560561532644996 54.399932552015656),4.58,11.71,Clay
554411,716,1,13.4,0.47,343,0.26,0.16,56,0.56,0.01,18,0.12,6.6,29.5,30,0.04,POINT (-7.69809073889827 54.46446059558872),5.19,9.3,Silt
554412,662,1,7.1,0.6,236,0.24,0.07,25,0.13,0.005,13.9,0.23,3.7,10.8,12,0.04,POINT (-7.424153399612738 54.34092945515658),5.5,7.59,Silt
554413,518,1,6.1,0.29,199,0.39,0.06,27,0.26,0.005,12.8,0.14,2.3,11,16,0.06,POINT (-7.502949442583164 54.38688053291479),4.87,23.79,Clay
554414,932,1,15.9,0.4,564,0.13,0.15,71,0.66,0.01,18.6,0.14,4.5,32.8,33,0.05,POINT (-7.607765442607233 54.448659681821354),4.55,8.82,Clay
554415,690,1,34.9,0.59,365,0.29,0.13,68,0.37,0.01,27.4,0.23,5.8,22.3,26,0.06,POINT (-7.607545436908748 54.408826441990655),4.74,9.63,Clay
554416,965,1,12.1,0.29,112,0.26,0.09,35,0.16,0.01,11.5,0.19,3.8,10.4,14,0.04,POINT (-7.424802883429068 54.353868978601696),5.49,9.78,Silt
554417,1280,1,14.7,0.62,573,0.11,0.11,64,0.26,0.005,20.8,0.19,4.2,16.5,21,0.03,POINT (-7.622010478510867 54.38328768974981),4.37,8.68,Clay
554418,732,1,21.2,1.13,387,0.23,0.06,38,0.12,0.005,14.3,0.5,5.3,16.3,14,0.06,POINT (-7.405172429456735 54.34574240526022),4.82,9.44,Clay
554419,1120,2,17.1,1.13,316,0.24,0.1,53,0.18,0.01,107.1,0.78,7.5,20.9,26,0.12,POINT (-7.659771969696219 54.36375320829321),4.06,24.45,Clay
554420,1100,1,11.3,0.67,475,0.15,0.1,73,0.26,0.005,52.6,0.35,5.4,12.8,19,0.12,POINT (-7.455703692359239 54.37461173952328),4.49,33.14,Clay
554421,865,1,13.4,0.5,564,0.26,0.14,60,0.61,0.01,38.4,0.16,6.8,32.4,32,0.06,POINT (-7.6242891725114985 54.45891736305685),4.88,10.82,Clay
554422,806,1,15.6,0.64,619,0.17,0.16,71,0.81,0.01,24.3,0.16,6.1,41.2,38,0.06,POINT (-7.664713907446349 54.42929239892769),4.55,13.49,Clay
554423,176,0.5,4.6,0.15,245,0.55,0.08,15,0.27,0.005,3.5,0.04,1.6,12.9,11,0.005,POINT (-7.641275152039071 54.34149231388518),7.23,1.28,Sand
554424,1220,1,15.2,0.52,505,0.19,0.09,54,0.4,0.01,16.5,0.22,3.5,15.8,28,0.08,POINT (-7.498620316974831 54.364484596272135),4.79,15.79,Clay
554425,958,1,47.4,0.48,449,0.14,0.12,50,0.55,0.01,18,0.14,7.3,28.2,31,0.06,POINT (-7.594528335944319 54.47623985496465),4.51,9.89,Clay
554426,1230,1,67.9,0.46,477,0.11,0.09,50,0.23,0.01,26.7,0.19,5,12.8,21,0.05,POINT (-7.500084453578487 54.345274792505954),4.48,9.38,Clay
